date,EUR,GBP,AUD,NZD,JPY,CAD,CHF,SEK,NOK
2013-04-30,1.3095861673355103,1.549426794052124,1.0344042778015137,0.8550662994384766,0.010218262243680045,0.9884352735527301,1.0671219797519758,0.15296133042934526,0.17214963603292885
2013-05-31,1.3043931722640991,1.5229045152664185,0.9669309854507446,0.8090615272521973,0.00989119698410256,0.9706852995113137,1.0485477547448565,0.15228812480534204,0.17158839573778153
2013-06-30,1.3035939931869507,1.5258322954177856,0.9281604290008545,0.7799704074859619,0.010154758733834719,0.9543806571938623,1.058324224431236,0.1484102290758513,0.1655895048656256
2013-07-31,1.3264886140823364,1.5242043733596802,0.9072763323783875,0.7992966771125793,0.010202416052801738,0.970760673803501,1.0757083220807626,0.15266499400085345,0.16855163715914068
2013-08-31,1.3236267566680908,1.550652027130127,0.8926180005073547,0.7760962843894958,0.010173767975652876,0.948856624672511,1.073767869313438,0.15170133337036978,0.1642009213219839
2013-09-30,1.349545955657959,1.6168932914733887,0.9301460981369019,0.8267879486083984,0.010222126452177642,0.9697439393373642,1.104728231267074,0.15531809647583825,0.1666452779671417
2013-10-31,1.3724011182785034,1.602615475654602,0.9470324516296387,0.825218677520752,0.010151562443122455,0.9543806571938623,1.1108025330765219,0.15631838666668754,0.16939391019316372
2013-11-30,1.360396146774292,1.6340937614440918,0.9084302186965942,0.8114906549453735,0.009775935574532,0.9447330669322118,1.1038868000604278,0.15281430465568194,0.16433529116112608
2013-12-31,1.3810056447982788,1.6495118141174316,0.8919811248779297,0.8217602372169495,0.009529799855444733,0.9394081955744628,1.1271415716465703,0.1559819115748561,0.1647500768503011
2014-01-31,1.3558770418167114,1.6498383283615112,0.8795848488807678,0.8175946474075317,0.009731602099297356,0.8963866843865096,1.1080700833911568,0.15356265158361632,0.16026667909783354
2014-02-28,1.3707455396652222,1.6691983938217163,0.8961697816848755,0.8366100788116455,0.009793360043312186,0.8990379983214458,1.125745804542259,0.15352021521432452,0.1656372286327073
2014-03-31,1.3752131462097168,1.6643919944763184,0.9260116219520569,0.8669267892837524,0.009719211972059341,0.90497735994473,1.1276499887249896,0.15388948204569386,0.16665277331994274
2014-04-30,1.3813681602478027,1.6824253797531128,0.9274716973304749,0.8562377095222473,0.009750009465703617,0.9130752852636433,1.1322463898933413,0.15249248609015936,0.16653344427346733
2014-05-31,1.360451579093933,1.6724364757537842,0.9310986995697021,0.8495455384254456,0.009830908257956936,0.9227134962257065,1.113709785451156,0.1506053544545684,0.16764796638650087
2014-06-30,1.3644425868988037,1.7034034729003906,0.9417082667350769,0.8775778412818909,0.0098577525524511,0.9376025358589093,1.1223344899043042,0.1484516524755899,0.16322532911608956
2014-07-31,1.3396027088165283,1.6910173892974854,0.9325748682022095,0.8490405678749084,0.009723843208963218,0.9168423692995922,1.1004732164128117,0.14532475233349898,0.1599457459421952
2014-08-31,1.3184958696365356,1.6589525938034058,0.9355412125587463,0.8377314805984497,0.009643573602071038,0.9212344525498708,1.0928483807526714,0.14358532660213214,0.16194830462762505
2014-09-30,1.269083857536316,1.624220371246338,0.8716875910758972,0.7764578461647034,0.009141603488249309,0.8960894640100558,1.0516352727355924,0.13827050964450968,0.15525539549278208
2014-10-31,1.2613362073898315,1.600102424621582,0.8824567198753357,0.7841907143592834,0.009156419322537301,0.8933356960782978,1.0459157133830104,0.13619154221553875,0.14920474016920882
2014-11-30,1.246199131011963,1.5724753141403198,0.8524422645568848,0.7859163880348206,0.008486083087890058,0.8819119491354094,1.0366561389680928,0.13438800728116176,0.14427682852294077
2014-12-31,1.2162047624588013,1.5569047927856445,0.818397581577301,0.7835148572921753,0.00837114298303335,0.861712378215419,1.0115928604905569,0.12899430485597296,0.13483776598309666
2015-01-31,1.13355553150177,1.5079090595245361,0.7782101631164551,0.7282790541648865,0.008456802573481827,0.7928956856292496,1.0840108232987542,0.12105951551764287,0.1279705146061622
2015-02-28,1.1205360889434814,1.5418059825897217,0.780579149723053,0.7539203763008118,0.008376823083199047,0.7998080142238806,1.0497585530099658,0.11915825933594398,0.13071365667981583
2015-03-31,1.0830246210098267,1.4809110164642334,0.7658140659332275,0.7501313090324402,0.008332430619444813,0.7890604342810057,1.0337412955383765,0.11642935010593915,0.1248798037129428
2015-04-30,1.1114321947097778,1.542686104774475,0.7994883060455322,0.7605719566345215,0.008405480286958089,0.8320574819984398,1.063490389218399,0.11988525234731116,0.1329214524745493
2015-05-31,1.0960345268249512,1.531909704208374,0.7658140659332275,0.718339204788208,0.008076239722699666,0.8048225215771881,1.0604453661498086,0.1182648215909633,0.12834318327999858
2015-06-30,1.122296690940857,1.573192834854126,0.767283022403717,0.6839009523391724,0.008151952514279538,0.8056784496443286,1.0800302613154196,0.12148425036384705,0.12704494520743295
2015-07-31,1.0939244031906128,1.5604275465011597,0.7294477820396423,0.6608075499534607,0.008059901241120992,0.7688995524060376,1.0327378039464516,0.11603082290044525,0.12259393949313974
2015-08-31,1.1214030981063843,1.5418059825897217,0.7140816450119019,0.6462870836257935,0.008244770654574605,0.7554011363874794,1.0404744755553974,0.11852020642835942,0.12085527290162448
2015-09-30,1.1255937814712524,1.5157945156097412,0.7003781795501709,0.6354047656059265,0.008343066868912032,0.745212017796022,1.0298661007151513,0.11936949243922786,0.11811716080218325
2015-10-31,1.0993843078613281,1.532379150390625,0.7090187072753906,0.6706008911132812,0.008264462809917356,0.7599361837571519,1.0114291773877564,0.11741484793219838,0.11691544008197426
2015-11-30,1.0583018064498901,1.5038950443267822,0.7183908224105835,0.6526989340782166,0.008141333429070856,0.7481110405980459,0.9706852995113137,0.11440586797919655,0.11488574709218242
2015-12-31,1.093398094177246,1.481920599937439,0.7284913063049316,0.684415876865387,0.008302200293369071,0.7208765870187855,1.012145773900875,0.11891596420418268,0.11386590771698625
2016-01-31,1.0936970710754395,1.4362038373947144,0.7086167335510254,0.6480041146278381,0.00840830738614301,0.7125399988991596,0.9863878233910538,0.11760236861032787,0.11608132964099317
2016-02-29,1.0923947095870972,1.3861935138702393,0.7128092050552368,0.6591957807540894,0.008798169697168224,0.7381708294589067,1.0033109372879832,0.11683730250522917,0.11506010618120417
2016-03-31,1.1334655284881592,1.4374011754989624,0.7661073803901672,0.690321683883667,0.008899489382019435,0.7706178854723243,1.0363230986137342,0.12296342299728973,0.12035692395279274
2016-04-30,1.135589361190796,1.4611338376998901,0.7634170055389404,0.6963788270950317,0.00925274837447568,0.7966222927916036,1.0349824116328132,0.12398579345215636,0.12293497978842179
2016-05-31,1.1148396730422974,1.4635074138641357,0.7195797562599182,0.6710057854652405,0.009021932039257299,0.7669888097055637,1.008776367674981,0.1201712232727226,0.12005738063514625
2016-06-30,1.1128050088882446,1.3465837240219116,0.7469933032989502,0.7124029397964478,0.009729708704077805,0.7731381076834755,1.0211688492548492,0.11833535829936258,0.11928844848204648
2016-07-31,1.108438491821289,1.316187858581543,0.751258373260498,0.709069013595581,0.009546994832960003,0.7603464383278921,1.0208978016386485,0.11585605897634862,0.11691722603908576
2016-08-31,1.1153244972229004,1.3090718984603882,0.7524454593658447,0.7241129279136658,0.009721196453578898,0.7641345537223809,1.0172008837656357,0.1172114395886171,0.11991845907085655
2016-09-30,1.121956706047058,1.2963443994522095,0.7628347277641296,0.7245851755142212,0.00988152081273458,0.7603001971126638,1.0350895593587253,0.11665208204146484,0.12422359954114642
2016-10-31,1.0984665155410767,1.2215979099273682,0.7598206996917725,0.716589093208313,0.009563429222510248,0.7461573192656522,1.0127710615728747,0.11102846199189366,0.12108297260305134
2016-11-30,1.0648492574691772,1.249219298362732,0.7484470009803772,0.7134703397750854,0.008891259795024552,0.7445351239696928,0.9884744083458523,0.10899015802375511,0.11727412722107082
2016-12-31,1.0575296878814697,1.2288031578063965,0.7234842777252197,0.6972042322158813,0.008600892899092534,0.741944322830293,0.9831875165332423,0.11030089396681536,0.11643232357867368
2017-01-31,1.0708587169647217,1.25,0.7565441131591797,0.7295223474502563,0.00879894400856909,0.763224767596342,1.0056719599884743,0.1133713581888192,0.12041808517540893
2017-02-28,1.0584250688552856,1.2439358234405518,0.7676364183425903,0.7185301780700684,0.00886957271399167,0.7583283741516997,0.9906188533650258,0.11035457084760375,0.11945261970739932
2017-03-31,1.0687072277069092,1.2478474378585815,0.7655209302902222,0.7003585696220398,0.008946464279122697,0.750046852177446,0.9995601920284298,0.11194786266076459,0.11681574773816096
2017-04-30,1.0864251852035522,1.2893576622009277,0.746720016002655,0.688349723815918,0.008990703780208461,0.7337887777467826,1.0056618928762386,0.11315852462770468,0.11674209726645117
2017-05-31,1.117168664932251,1.2809016704559326,0.7459346652030945,0.7086418867111206,0.009022095364302412,0.742379458146524,1.0247581859576524,0.11453310471335376,0.1183530022857348
2017-06-30,1.144164800643921,1.3011176586151123,0.7685213685035706,0.7309620976448059,0.008927853797675456,0.7696688764447105,1.0467916128469508,0.11826901006933772,0.11940155744825538
2017-07-31,1.1747292280197144,1.3144922256469727,0.7985944747924805,0.7520097494125366,0.009048954670793117,0.8024780501617659,1.031810751972912,0.123353842584848,0.12634238848004797
2017-08-31,1.1893434524536133,1.2920564413070679,0.7907013297080994,0.7203884720802307,0.009053050953180479,0.7919286530419118,1.0376673276553987,0.12545477049213768,0.12817226277015373
2017-09-30,1.178175449371338,1.343021035194397,0.7846275568008423,0.7222824096679688,0.008891496834568245,0.8040976484149027,1.0303117916582483,0.12322540659086513,0.1259398261447743
