date,longs,shorts,carry_gross,carry_net,turnover,bm_gross,bm_net
2008-12-31,"AUD,NOK,NZD","CAD,CHF,JPY",-0.01134129696907462,-0.01134129696907462,0.0,0.04956213500781538,0.04956213500781538
2009-01-31,"AUD,NOK,NZD","CAD,CHF,JPY",-0.01667360484446864,-0.01667360484446864,0.0,-0.0515267579773416,-0.0515267579773416
2009-02-28,"AUD,NOK,NZD","CAD,CHF,JPY",0.0178756959667832,0.0178756959667832,0.0,-0.028300977393221422,-0.028300977393221422
2009-03-31,"AUD,NOK,NZD","CHF,JPY,SEK",0.02300012741243714,0.022933460745770472,0.16666666666666666,0.04492788142836885,0.04492788142836885
2009-04-30,"AUD,NOK,NZD","CAD,CHF,JPY",0.005670711055703145,0.005604044389036479,0.16666666666666666,0.022183767202082077,0.022183767202082077
2009-05-31,"AUD,NOK,NZD","CAD,CHF,JPY",0.014528405276454007,0.014528405276454007,0.0,0.0788114365678451,0.0788114365678451
2009-06-30,"AUD,NOK,NZD","CAD,CHF,JPY",0.014156460178833418,0.014156460178833418,0.0,-0.012195886216503582,-0.012195886216503582
2009-07-31,"AUD,NOK,NZD","CAD,CHF,JPY",0.0015618045884504654,0.0015618045884504654,0.0,0.03685033698495424,0.03685033698495424
2009-08-31,"AUD,NOK,NZD","CAD,JPY,SEK",0.00834846766533129,0.008281800998664624,0.16666666666666666,0.007134702974794744,0.007134702974794744
2009-09-30,"AUD,NOK,NZD","CAD,JPY,SEK",0.011745719221071954,0.011745719221071954,0.0,0.028059243728206364,0.028059243728206364
2009-10-31,"AUD,NOK,NZD","CAD,JPY,SEK",0.00986715447412611,0.00986715447412611,0.0,0.0029607834981703915,0.0029607834981703915
2009-11-30,"AUD,NOK,NZD","CAD,JPY,SEK",-0.009391658724055917,-0.009391658724055917,0.0,0.018249301967041703,0.018249301967041703
